City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
597,Boyolangu,ID,73.89,light rain,-8.1181,111.8935,Yos ega cv
600,Abnub,EG,88.02,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
601,Matara,LK,80.6,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
603,Tazmalt,DZ,86.88,overcast clouds,36.3868,4.3989,Hôtel Numédia
604,Tezu,IN,75.02,light rain,27.9167,96.1667,Circuit House
606,Mattawa,US,81.88,overcast clouds,46.7379,-119.9028,Sun & Sand Mobile Home Park
610,Korla,CN,84.34,clear sky,41.7597,86.1469,Gulisitan Hotel
613,Ramanuj Ganj,IN,81.0,overcast clouds,23.8,83.7,HOTEL SAI SIDDHI
621,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
622,Sao Joao De Pirabas,BR,81.37,clear sky,-0.7747,-47.1772,POUSADA SOL E MAR
624,Muli,MV,82.42,light rain,2.9167,73.5667,Medhufushi Island Resort
625,Gushikawa,JP,81.63,few clouds,26.3544,127.8686,Kirari Guest House
628,San Andres,CO,78.82,thunderstorm with light rain,12.5847,-81.7006,Hotel Arena Blanca
629,Banepa,NP,70.12,light rain,27.6298,85.5214,Dhulikhel Lodge Resort
631,Hobyo,SO,77.27,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
632,Plaster Rock,CA,72.12,scattered clouds,46.9065,-67.39,Settler's Inn and Motel
633,Daru,PG,78.33,clear sky,-9.0763,143.2092,Daru Lodge
634,La Grande,US,80.02,overcast clouds,45.3246,-118.0877,Travelodge by Wyndham La Grande
635,Flagstaff,US,82.09,overcast clouds,35.1981,-111.6513,Drury Inn & Suites Flagstaff
637,Portobelo,PA,85.1,overcast clouds,9.55,-79.65,Scuba Portobelo
642,Ellensburg,US,79.63,clear sky,46.9965,-120.5479,"Holiday Inn Express Ellensburg, an IHG Hotel"
645,Deszk,HU,75.67,light rain,46.218,20.2432,Tipp-Topp apartman ház
647,Lethem,GY,82.87,broken clouds,3.3803,-59.7968,Savannah Inn
655,Topi,PK,87.21,clear sky,34.0704,72.6236,Hostel 6
657,Udayagiri,IN,75.85,overcast clouds,20.1333,84.3833,Hotel Disha
659,Maumere,ID,76.64,overcast clouds,-8.6199,122.2111,Sylvia Hotel
660,Denia,ES,78.85,clear sky,38.8408,0.1057,Hotel Port Dénia
662,Miraflores,MX,75.02,light rain,19.2167,-98.8083,Hotel Mansión
663,Hadejia,NG,81.61,moderate rain,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
